llavemod,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion
1240102101,APROBADO,93,0.3,MODERADO,R001|R005|R012,3,1,
1240204101,APROBADO,83,0.3,MODERADO,R001|R012,2,1,
1240304101,RECHAZADO,42,0.3,MODERADO,R012,1,1,
1240407101,RECHAZADO,13,0.3,MODERADO,R004,1,0,
1240505101,APROBADO,86,0.3,MODERADO,R001|R012,2,1,
1240601101,RECHAZADO,45,0.3,MODERADO,R005,1,0,
1240702101,APROBADO,98,0.3,MODERADO,R001|R005|R012,3,1,
1240811101,APROBADO,83,0.3,MODERADO,R001|R012,2,1,
1240903101,RECHAZADO,53,0.3,MODERADO,R012,1,1,
1241005102,APROBADO,82,0.3,MODERADO,R001|R012,2,1,
1241101101,RECHAZADO,28,0.3,MODERADO,R004|R005,2,0,
1241203102,RECHAZADO,53,0.3,MODERADO,R012,1,1,
1241305102,RECHAZADO,36,0.3,MODERADO,R004|R005|R012,3,1,
1241402101,RECHAZADO,15,0.3,MODERADO,R004,1,0,
1241507101,RECHAZADO,56,0.3,MODERADO,R005,1,0,
1241603102,REVISION_MANUAL,66,0.3,MODERADO,R001|R004|R005|R012,4,1,
1241702101,RECHAZADO,30,0.3,MODERADO,,0,0,
1241803101,RECHAZADO,44,0.3,MODERADO,R012,1,1,
1241908102,RECHAZADO,8,0.3,MODERADO,R004,1,0,
1242006102,RECHAZADO,24,0.3,MODERADO,R004|R012,2,1,
1242105102,RECHAZADO,0,0.3,MODERADO,R002|R004,2,0,
1242205101,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,
1242305102,APROBADO,88,0.3,MODERADO,R001|R005,2,0,
1242401101,RECHAZADO,40,0.3,MODERADO,R012,1,1,
1242505102,RECHAZADO,41,0.3,MODERADO,R009|R012,2,1,
1242505203,RECHAZADO,8,0.3,MODERADO,R004|R009|R012,3,1,
1242505304,RECHAZADO,8,0.3,MODERADO,R004|R009|R012,3,1,
1242605101,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,
1242701105,REVISION_MANUAL,70,0.3,MODERADO,R001|R010|R012,3,1,
1242805101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1242916101,RECHAZADO,27,0.3,MODERADO,R004|R005,2,0,
1243018101,RECHAZADO,44,0.3,MODERADO,R001|R004|R005|R010,4,0,
1243102101,RECHAZADO,22,0.3,MODERADO,R002|R005,2,0,
1243201101,RECHAZADO,13,0.3,MODERADO,R004,1,0,
1243310103,RECHAZADO,26,0.3,MODERADO,R004|R005,2,0,
1243402102,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1243502101,REVISION_MANUAL,77,0.3,MODERADO,R005|R012|R015,3,2,
1243601102,RECHAZADO,12,0.3,MODERADO,R004,1,0,
1243703103,RECHAZADO,53,0.3,MODERADO,R012,1,1,
1243804101,RECHAZADO,42,0.3,MODERADO,,0,0,
1243905101,RECHAZADO,23,0.3,MODERADO,R002|R005,2,0,
1244012101,RECHAZADO,27,0.3,MODERADO,R010|R012,2,1,
1244104102,RECHAZADO,41,0.3,MODERADO,R004|R005|R012,3,1,
1244202102,RECHAZADO,38,0.3,MODERADO,R004|R005|R012,3,1,
1244303101,RECHAZADO,34,0.3,MODERADO,R004|R005|R012,3,1,
1244403104,REVISION_MANUAL,70,0.3,MODERADO,R001|R010|R012,3,1,
1244502102,APROBADO,84,0.3,MODERADO,R001|R005,2,0,
1244611101,RECHAZADO,27,0.3,MODERADO,R004|R005,2,0,
1244704101,RECHAZADO,39,0.3,MODERADO,R004|R005|R012,3,1,
1244805102,RECHAZADO,40,0.3,MODERADO,R001|R004,2,0,
1244915102,RECHAZADO,42,0.3,MODERADO,R005,1,0,
1245001102,RECHAZADO,51,0.3,MODERADO,R012,1,1,
1245103103,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1245203101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1245302101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1245401103,RECHAZADO,8,0.3,MODERADO,R004,1,0,
1245501101,APROBADO,100,0.3,MODERADO,R001|R005|R006|R012,4,1,
1245601102,RECHAZADO,25,0.3,MODERADO,R004|R012,2,1,
1245715101,APROBADO,100,0.3,MODERADO,R001|R003|R005|R012,4,1,
1245803104,RECHAZADO,0,0.3,MODERADO,R002|R009,2,0,
1245902102,APROBADO,91,0.3,MODERADO,R001|R005|R012,3,1,
1246005101,RECHAZADO,5,0.3,MODERADO,R002,1,0,
1246115101,RECHAZADO,46,0.3,MODERADO,R005,1,0,
1246202101,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,
1246302102,RECHAZADO,54,0.3,MODERADO,R012,1,1,
1246404101,RECHAZADO,41,0.3,MODERADO,,0,0,
1246502101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1246603101,RECHAZADO,0,0.3,MODERADO,R002|R004|R005,3,0,
1246704103,RECHAZADO,0,0.3,MODERADO,R002|R004|R005|R010,4,0,
1246804101,RECHAZADO,53,0.3,MODERADO,R005,1,0,
1246905101,RECHAZADO,46,0.3,MODERADO,R005,1,0,
1247009101,RECHAZADO,25,0.3,MODERADO,R004|R012,2,1,
1247103102,RECHAZADO,12,0.3,MODERADO,R004,1,0,
1247202102,RECHAZADO,55,0.3,MODERADO,R001|R004|R012,3,1,
1247305101,RECHAZADO,43,0.3,MODERADO,R002|R005|R015,3,1,
1247404101,RECHAZADO,8,0.3,MODERADO,R002,1,0,
1247502103,RECHAZADO,13,0.3,MODERADO,R004,1,0,
1247602101,APROBADO,98,0.3,MODERADO,R001|R005|R012,3,1,
1247703103,RECHAZADO,10,0.3,MODERADO,R004|R009|R012,3,1,
1247703202,RECHAZADO,28,0.3,MODERADO,,0,0,
1247804101,REVISION_MANUAL,70,0.3,MODERADO,R001|R005|R010,3,0,
1247904105,RECHAZADO,40,0.3,MODERADO,R001|R004|R009|R012,4,1,
1248002103,RECHAZADO,41,0.3,MODERADO,,0,0,
1248105101,RECHAZADO,41,0.3,MODERADO,R012,1,1,
1248209101,RECHAZADO,45,0.3,MODERADO,R005,1,0,
1248301101,RECHAZADO,40,0.3,MODERADO,R002|R005,2,0,
1248402101,RECHAZADO,11,0.3,MODERADO,R004,1,0,
1248503101,RECHAZADO,11,0.3,MODERADO,R002,1,0,
1248602101,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,
1248704101,RECHAZADO,39,0.3,MODERADO,R004|R005|R012,3,1,
1248803102,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1248911102,RECHAZADO,31,0.3,MODERADO,,0,0,
1249020101,APROBADO,92,0.3,MODERADO,R003|R005|R012,3,1,
1249104103,RECHAZADO,55,0.3,MODERADO,R001|R010,2,0,
1249215101,RECHAZADO,9,0.3,MODERADO,R002|R005,2,0,
1249313102,RECHAZADO,9,0.3,MODERADO,R002|R005|R006|R010,4,0,
1249404101,RECHAZADO,55,0.3,MODERADO,R005,1,0,
1249504102,REVISION_MANUAL,78,0.3,MODERADO,R001|R012,2,1,
1249602102,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1249703101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1249808101,REVISION_MANUAL,64,0.3,MODERADO,R005|R015,2,1,
1249904102,RECHAZADO,0,0.3,MODERADO,R002,1,0,
1250020101,RECHAZADO,30,0.3,MODERADO,R005|R010,2,0,
1250103101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1250217102,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1250313102,RECHAZADO,44,0.3,MODERADO,R005,1,0,
1250405101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1250505102,RECHAZADO,30,0.3,MODERADO,R004|R005,2,0,
1250616102,REVISION_MANUAL,66,0.3,MODERADO,R005|R012,2,1,
1250714102,RECHAZADO,1,0.3,MODERADO,R002,1,0,
1250805102,REVISION_MANUAL,66,0.3,MODERADO,R005|R012,2,1,
1250902101,REVISION_MANUAL,76,0.3,MODERADO,R001|R005,2,0,
1251018103,RECHAZADO,37,0.3,MODERADO,,0,0,
1251104103,RECHAZADO,54,0.3,MODERADO,R001|R009,2,0,
1251201102,RECHAZADO,0,0.3,MODERADO,R002,1,0,
1251305101,RECHAZADO,41,0.3,MODERADO,R004|R005|R012,3,1,
1251404101,RECHAZADO,55,0.3,MODERADO,R012,1,1,
1251520102,APROBADO,100,0.3,MODERADO,R001|R012,2,1,
1251605101,RECHAZADO,28,0.3,MODERADO,,0,0,
1251704101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1251802101,RECHAZADO,41,0.3,MODERADO,,0,0,
1251904101,RECHAZADO,56,0.3,MODERADO,R012,1,1,
1252001101,RECHAZADO,44,0.3,MODERADO,R012,1,1,
1252102101,RECHAZADO,0,0.3,MODERADO,R004|R010,2,0,
1252218102,RECHAZADO,40,0.3,MODERADO,R001|R004|R009|R012,4,1,
1252302101,RECHAZADO,43,0.3,MODERADO,R001|R004,2,0,
1252404101,RECHAZADO,56,0.3,MODERADO,R005,1,0,
1252501102,RECHAZADO,10,0.3,MODERADO,R004,1,0,
1252616101,APROBADO,100,0.3,MODERADO,R001|R003|R005|R012,4,1,
1252718101,RECHAZADO,58,0.3,MODERADO,R001,1,0,
1252806101,RECHAZADO,31,0.3,MODERADO,,0,0,
1252902101,REVISION_MANUAL,66,0.3,MODERADO,R005|R012,2,1,
1253012101,RECHAZADO,28,0.3,MODERADO,R004|R005,2,0,
1253101101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1253205104,RECHAZADO,14,0.3,MODERADO,R009,1,0,
1253303102,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1253405102,REVISION_MANUAL,68,0.3,MODERADO,R001|R004|R005|R012,4,1,
1253504102,RECHAZADO,39,0.3,MODERADO,,0,0,
1253604102,RECHAZADO,12,0.3,MODERADO,R004,1,0,
1253702103,RECHAZADO,10,0.3,MODERADO,R004,1,0,
1253804101,RECHAZADO,42,0.3,MODERADO,R005|R010,2,0,
1253902103,RECHAZADO,48,0.3,MODERADO,R012,1,1,
1254003101,REVISION_MANUAL,68,0.3,MODERADO,R005|R012,2,1,
1254117101,RECHAZADO,37,0.3,MODERADO,R004|R005|R012,3,1,
1254205101,RECHAZADO,40,0.3,MODERADO,,0,0,
1254301101,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,
1254411101,RECHAZADO,49,0.3,MODERADO,R012,1,1,
1254505102,RECHAZADO,13,0.3,MODERADO,R004,1,0,
1254603102,APROBADO,89,0.3,MODERADO,R001|R012,2,1,
1254719102,RECHAZADO,27,0.3,MODERADO,R004|R005,2,0,
1254817101,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,
1254905102,RECHAZADO,38,0.3,MODERADO,,0,0,
1255002101,RECHAZADO,28,0.3,MODERADO,R004|R005,2,0,
1255116102,RECHAZADO,30,0.3,MODERADO,,0,0,
