llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
564505,2,4,1,2,,1,1,5,1,,5645,5,13,3,5,67,917,1831
564601,3,5,1,2,,1,1,5,1,,5646,1,1,1,3,4,23,1189
564703,2,3,2,2,,2,,2,1,,5647,3,7,1,6,40,468,3525
564803,1,6,1,2,,1,1,1,1,,5648,3,18,1,3,103,1238,973
564901,3,7,2,1,1,1,1,3,1,,5649,1,21,1,5,121,1434,4829
565018,1,2,1,2,,2,,2,1,,5650,18,24,4,2,137,1597,1065
565106,2,3,1,1,1,2,,4,1,,5651,6,6,4,3,33,394,835
565202,2,4,1,2,,1,1,3,1,,5652,2,15,1,5,86,1079,10531
565301,3,5,2,2,,1,1,8,1,,5653,1,19,1,2,106,1256,3877
565413,2,4,1,2,,1,2,2,1,,5654,13,25,2,1,142,1677,2524
565513,1,3,1,2,,2,,1,1,,5655,13,7,4,6,39,450,4023
565613,1,1,0,2,,2,,2,1,,5656,13,30,2,5,172,2035,8713
565705,3,9,4,1,2,1,1,5,1,,5657,5,12,1,6,65,904,2169
565804,2,4,1,1,1,1,1,5,1,,5658,4,24,1,2,138,1603,1445
565910,2,2,1,2,,2,,3,1,,5659,10,4,2,6,20,224,779
566010,2,3,1,1,1,2,,7,1,,5660,10,13,4,5,71,937,2578
566102,4,5,2,1,3,1,1,4,1,,5661,2,25,1,1,144,1695,2426
566204,1,2,1,2,,2,,3,1,,5662,4,17,3,5,94,1148,943
566309,2,3,1,2,,2,,3,1,,5663,9,25,4,1,143,1678,2442
566403,3,5,2,1,1,1,1,5,1,,5664,3,1,1,3,6,50,1373
566505,2,3,1,2,,1,1,4,1,,5665,5,28,1,2,163,1935,1727
566605,2,4,1,1,1,1,1,4,1,,5666,5,9,1,4,48,588,3638
566703,3,6,1,2,,1,1,4,1,,5667,3,15,1,5,87,1094,12086
566803,4,5,1,2,,1,1,4,1,,5668,3,29,2,5,170,2022,1015
566905,1,5,2,1,1,1,1,1,1,,5669,5,1,2,3,6,51,1346
567004,2,3,3,2,,2,,3,1,,5670,4,9,1,4,50,737,2858
567116,2,3,0,2,,2,,5,1,,5671,16,27,4,6,154,1814,2660
567215,2,3,0,2,,2,,3,1,,5672,15,17,3,5,94,1147,952
567303,3,9,4,1,5,1,1,3,1,,5673,3,9,1,4,50,733,2944
567404,1,1,1,2,,2,,2,1,,5674,4,8,1,1,44,495,2970
567503,2,4,2,1,1,1,1,3,1,,5675,3,2,1,1,11,140,1439
567603,1,4,1,2,,2,,2,1,,5676,3,5,4,2,28,277,1380
567707,1,3,0,1,1,1,1,3,1,,5677,7,11,4,3,57,835,5223
567806,2,3,1,2,,2,,3,1,,5678,6,17,4,5,96,1156,1044
567903,3,4,2,1,2,1,1,3,1,,5679,3,9,1,4,50,688,3766
568002,1,2,1,2,,2,,1,1,,5680,2,31,1,6,183,2114,2129
568109,1,1,1,1,1,1,1,3,1,,5681,9,10,4,1,52,772,1285
568202,2,2,0,2,,2,,4,1,,5682,2,15,2,5,81,1014,20259
