cve,descrip
"1","No trabaja o nunca ha trabajado"
"2","No sabe qué es afore o SAR"
"3","No tiene dinero o es insuficiente para ahorrar"
"4","No sabe cómo tramitarla"
"5","No le interesa o piensa que no le conviene"
"6","Las afores le dan desconfianza"
"7","Es jubilada(o), pensionada(o) o sus necesidades futuras de retiro ya las tiene resueltas (plan privado de retiro, ahorros, etcétera)"
"8","Trabaja por su cuenta y no sabía que podía tramitarla"
"9","Otro"
