cve,descrip
"1","Prefiere usar el cajero o la sucursal de su banco u otra institución financiera"
"2","Prefiere usar las aplicaciones móviles"
"3","Otra persona hace sus trámites u operaciones"
"4","Comisiones altas"
"5","No sabía que podía hacerlo"
"6","Están muy lejos o no hay"
"7","Son inseguros o le dan desconfianza"
"8","No ha tenido necesidad (no realiza pagos, paga en la institución, etcétera)"
"9","Otro"
