"cve","descrip"
"1","Cuenta o tarjeta de nómina (donde depositan su sueldo)"
"2","Cuenta o tarjeta de pensión (donde depositan su pensión)"
"3","Cuenta o tarjeta para recibir apoyos de gobierno"
"4","Cuenta de ahorro"
"5","Cuenta de cheques"
"6","Cuenta contratada por Internet o aplicación como Mercado Pago, Nu o Spin de Oxxo"
"7","Tarjeta de crédito"
"8","Otro"
"9","No sabe (No recuerda)"
