cve,descrip
"1","Del seguro social (IMSS)"
"2","Del ISSSTE"
"3","Del ISSSTE estatal"
"4","De PEMEX, Defensa o Marina"
"5","De un seguro privado de gastos médicos"
"6","De otra institución"
"7","Entonces, carece de derecho a servicios médicos por parte de su trabajo (incluye IMSS-Bienestar, antes seguro popular, instituto de salud para el bienestar)"
"9","No sabe"
