"cve","descrip"
"1","Solo la usa para emergencias"
"2","Los intereses o las comisiones son altas"
"3","Prefiere pagar de contado"
"4","No le gusta endeudarse"
"5","Por desconfianza o miedo a fraude"
"6","No tiene necesidad, no la ocupa"
"7","El comercio cobra comisión por pagar con tarjeta"
"8","Otro"
