cve,descrip
"01","La sucursal le queda lejos o no hay"
"02","Los intereses son bajos o las comisiones son altas"
"03","No confía en instituciones financieras o le dan mal servicio"
"04","Piden requisitos que no tiene"
"05","Prefiere otras formas de ahorro (tanda, guardar en su casa, etcétera)"
"06","No la necesita"
"07","No le alcanza, sus ingresos son insuficientes o variables"
"08","No sabe qué es o cómo usarla"
"09","No quiere que le cobren impuestos"
"10","Otro"
