"cve","descrip"
"00","Ninguno"
"01","Preescolar o kínder"
"02","Primaria"
"03","Secundaria"
"04","Normal básica"
"05","Estudios técnicos con secundaria terminada"
"06","Preparatoria o bachillerato"
"07","Estudios técnicos con preparatoria terminada"
"08","Licenciatura o ingeniería (profesional)"
"09","Especialidad"
"10","Maestría"
"11","Doctorado"
"99","No sabe"
