"cve","descrip"
"1","Desconocía la existencia de esta subcuenta"
"2","Adquirir un crédito para la compra de vivienda o terreno"
"3","Adquirir un crédito para construir, remodelar o mejorar su vivienda"
"4","Pedirlo al final de su jubilación"
"5","Ya hizo uso del saldo de esta subcuenta"
"6","No sabe en qué va a utilizarlo"
