cve,descrip
"1","En la sucursal del banco o de la institución financiera"
"2","A través de la empresa donde trabaja (se la dieron en el trabajo)"
"3","Mediante una aplicación de celular"
"4","En la página de internet de la institución financiera"
"5","En un establecimiento como Oxxo, Walmart (Yastás, Telecomm, ahora Financiera para el Bienestar, entre otras)"
"6","Con personal promotor (fuera de la institución financiera)"
"7","A través del programa social (se la dio el gobierno)"
"8","Otro"
"9","No sabe"
