"cve","descrip"
"1","Empleada(o) u obrera(o)"
"2","Jornalera(o) o peón(a)"
"3","Ayudante con pago"
"4","Patrón(a) o empleador(a) (tiene personas trabajadoras por un sueldo)"
"5","Trabajador(a) por su cuenta (no tiene personas trabajadoras por un sueldo)"
"6","Trabajador(a) sin pago (en un negocio familiar o no familiar)"
