cve,descrip
"1","En una sucursal de la institución aseguradora"
"2","Mediante una aplicación de celular"
"3","En la página de Internet de la institución aseguradora"
"4","Con personal promotor o agente"
"5","En una sucursal del banco o de una institución financiera"
"6","En un establecimiento comercial (Elektra, Coppel, Liverpool, entre otros)"
"7","Otro"
