cve,descrip
"1","Dejó de trabajar y ya no la usaba para que le pagaran su salario"
"2","Dejó de recibir apoyo gubernamental"
"3","No la utilizaba"
"4","Tuvo una mala experiencia con la institución financiera"
"5","No cumplía con el saldo mínimo o por cobro de comisiones"
"6","Los intereses que le pagaban eran muy bajos"
"7","Fue víctima de un fraude"
"8","No quería que le cobraran impuesto"
"9","Otro"
