"cve","descrip"
"1","Ayudó en un negocio (familiar o no familiar)"
"2","Vendió algún producto"
"3","Hizo algún producto para vender"
"4","Ayudó en las labores del campo o en la cría de animales"
"5","A cambio de un pago realizó otro tipo de actividad (por ejemplo: lavó o planchó ajeno, cuidó niñas y niños)"
"6","Estuvo de aprendiz o haciendo su servicio social"
"7","No hizo alguna actividad por un ingreso"
