"cve","descrip"
"1","No tiene cuenta o tarjeta"
"2","Ingresos insuficientes o variables"
"3","No los conoce o no sabe usarlos"
"4","Prefiere otros medios físicos (sucursales, tiendas de autoservicio, etcétera)"
"5","Prefiere usar las aplicaciones móviles"
"6","Otra persona hace sus trámites u operaciones"
"7","Son inseguros o le dan desconfianza"
"8","Están muy lejos o no hay"
"9","Otro"
