"cve","descrip"
"1","Trabajó por lo menos una hora"
"2","Tenía trabajo, pero no trabajó"
"3","Buscó trabajo"
"4","Hizo gestiones o realizó trámites para iniciar un negocio o actividad por su cuenta"
"5","Es persona jubilada o pensionada"
"6","Es estudiante"
"7","Se dedica a los quehaceres del hogar o al cuidado de algún familiar"
"8","Tiene una limitación física o mental permanente que le impide trabajar"
"9","Estaba en otra situación diferente a las anteriores"
