cve,descrip
"1","Falta de tiempo"
"2","Desconfianza en las instituciones o autoridades financieras"
"3","Desinterés por parte de las instituciones o autoridades financieras"
"4","Desconoce el proceso o trámite para presentar la queja"
"5","No vale la pena"
"6","No ha tenido necesidad"
"7","Otro"
