"cve","descrip"
"01","Para buscar trabajo"
"02","Por cambio u oferta de trabajo"
"03","Para reunirse con la familia"
"04","Se casó o unió"
"05","Por estudio"
"06","Por inseguridad o delincuencia (asaltos, extorsiones, homicidios)"
"07","Por desastres naturales"
"08","Lo deportaron (regresaron)"
"09","Otra causa"
"10","Otras situaciones familiares (separación, divorcio, fallecimiento, cuidados)"
