edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
40,7000.0,2100.0,2,0,1,Propia,Consumo,10000.0,True,True,740701102,7407011,REVISION_MANUAL,72,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
88,1000.0,300.0,2,0,0,Propia,Consumo,10000.0,True,True,741620101,7416201,RECHAZADO,57,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
19,2500.0,750.0,2,0,1,Familiar,Consumo,10000.0,True,True,741905103,7419051,RECHAZADO,40,0.3,MODERADO,R001|R004|R009|R012,4,1,,True,False,1,0
29,2500.0,750.0,2,0,4,Familiar,Consumo,10000.0,True,True,742203102,7422031,RECHAZADO,39,0.3,MODERADO,R001|R004|R010|R012,4,1,,True,False,1,0
29,2500.0,750.0,2,0,2,Propia,Consumo,10000.0,True,True,742607102,7426071,REVISION_MANUAL,67,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
36,1800.0,540.0,2,1,2,Propia,Consumo,10000.0,False,True,743005101,7430051,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
54,2000.0,600.0,2,0,0,Propia,Consumo,10000.0,True,True,745004101,7450041,REVISION_MANUAL,60,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
55,2000.0,600.0,2,0,4,Propia,Consumo,10000.0,True,True,745513101,7455131,RECHAZADO,44,0.3,MODERADO,R001|R004|R005|R010,4,0,,True,False,1,0
32,1500.0,450.0,2,1,3,Familiar,Consumo,10000.0,False,True,749911102,7499111,RECHAZADO,58,0.3,MODERADO,R001,1,0,,True,False,1,0
37,2000.0,600.0,2,4,0,Familiar,Consumo,10000.0,False,True,750503101,7505031,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
